id,date,text,retweet_count,lang,class,label
1234336286967656448,Mon Mar 02 04:34:38 +0000 2020,RT @washingtonpost: Coronavirus is fueling new protests in Hong Kong. Authorities aim to arrest their way out. https://t.co/DSsTYxEhvx,1918,en,[0. 0. 0. 0. 0. 0. 0. 1.],trust
1234544466268217344,Mon Mar 02 18:21:52 +0000 2020,"RT @CWatkinsWDSU: .@LouisianaGov says when there becomes a positive testing of Coronavirus in Louisiana, his administration will make that…",5,en,[0. 0. 0. 0. 1. 0. 0. 0.],joy
1234350481603952640,Mon Mar 02 05:31:02 +0000 2020,RT @NaveedAJamali: #BreakingNews DoD sees the coronavirus as likely becoming a global pandemic within the next 30 days. https://t.co/aavmyF…,1136,en,"[0.         0.         0.         0.95882333 0.         0.04117667
 0.         0.        ]",fear
1234506861912571904,Mon Mar 02 15:52:26 +0000 2020,RT @WajahatAli: Dr. Fauci is on @cnn talking about #coronavirus. I feel so much more informed and calmed by his words and expertise. The ex…,394,en,"[0.         0.         0.         0.         0.25402966 0.
 0.         0.74597034]",joy
1234479324276891650,Mon Mar 02 14:03:01 +0000 2020,"RT @NaomiAKlein: Bloomberg is blanketing the airwaves using #coronavirus to sell himself as The Boss to keep us safe 

But the single great…",1371,en,"[0.         0.         0.         0.         0.27690289 0.
 0.         0.72309711]",joy
1234362461228158978,Mon Mar 02 06:18:38 +0000 2020,"RT @AlvaroSmith_: #Coronavirus is fueling new protests in #HongKong. Authorities aim to arrest their way out.
https://t.co/DhntDlCUnp",1974,en,[0. 0. 0. 0. 0. 0. 0. 1.],trust
1234619936573722624,Mon Mar 02 23:21:45 +0000 2020,"RT @2019nCoVwatcher: AFRICA UPDATE:

#Coronavirus cases in Africa⬇️🌍

Algeria: 3 (+2)
Egypt: 2 (-)
Morocco: 1 (+1)
Nigeria: 1 (-)
Senegal:…",27,en,"[0.         0.         0.         0.29192547 0.         0.70807453
 0.         0.        ]",fear
1234559138019102722,Mon Mar 02 19:20:10 +0000 2020,"RT @ByronYork: At least two New York Times columnists, Collins and Krugman, now referring to coronavirus as 'Trumpvirus.' https://t.co/Vpox…",1251,en,[0. 0. 0. 0. 0. 0. 0. 1.],trust
1234465741749018624,Mon Mar 02 13:09:02 +0000 2020,RT @MajinBoochi: Coronavirus in NY? There's only one person who can save us https://t.co/mlh1UtwaVm,26538,en,"[0.         0.         0.         0.         0.26246719 0.
 0.         0.73753281]",joy
1234355482116014080,Mon Mar 02 05:50:54 +0000 2020,RT @MajinBoochi: Coronavirus in NY? There's only one person who can save us https://t.co/mlh1UtwaVm,26538,en,"[0.         0.         0.         0.         0.26246719 0.
 0.         0.73753281]",joy
1234504768753553408,Mon Mar 02 15:44:07 +0000 2020,"RT @no_silenced: I really wish people would stop saying COVID-19 is the flu....It’s not

Does that mean we need to panic...No

But it also…",97,en,[0. 0. 0. 1. 0. 0. 0. 0.],fear
1234503430774935553,Mon Mar 02 15:38:48 +0000 2020,"RT @WHO: @DrTedros ""A WHO team arrived in #Iran this afternoon to deliver supplies and support the government in the #COVID19 response.

I…",85,en,"[0.         0.02920913 0.         0.93813959 0.         0.
 0.         0.03265128]",anticipation
1234312092435566592,Mon Mar 02 02:58:29 +0000 2020,"RT @MarketWatch: First case of coronavirus confirmed in New York City, Cuomo says https://t.co/KTZhuYxYS0",17,en,"[0.         0.         0.         0.29192547 0.         0.70807453
 0.         0.        ]",fear
1234552569927741440,Mon Mar 02 18:54:04 +0000 2020,"RT @GazLemon: Important Qs about how @DWP #UniversalCredit system will be able to cope with #CoronaVirus. 

@Helen_Barnard makes crucial po…",15,en,[0. 0. 0. 0. 0. 0. 0. 1.],trust
1234497285154836484,Mon Mar 02 15:14:23 +0000 2020,"RT @bbcworldservice: THREAD 👇

(1/6) How useful are face masks for #coronavirus? @JamesTGallagher explains 😷

The Global News Podcast with…",14,en,[0. 0. 0. 0. 0. 0. 0. 1.],trust
