id,date,text,retweet_count,lang,class,label
1223610880690180102,Sat Feb 01 14:15:42 +0000 2020,RT @ChinaEUMission: Good news! The hospital specialized for #coronarovirus   treatment is to be completed soon in Wuhan!,106,en,"[2, 0, 0, 0, 0, 0]",joy
1223704008952438784,Sat Feb 01 20:25:45 +0000 2020,"RT @SteveScalise: .@realDonaldTrump has taken decisive action to protect Americans from the coronavirus.

Additional health screenings at a…",697,en,"[2, 0, 0, 0, 0, 0]",joy
1223602143451463682,Sat Feb 01 13:40:59 +0000 2020,RT @sneheshphilip: Really sad. A Pakistani student in #Wuhan watching his Indian counterparts being evacuated. The students have been left…,8351,en,"[0, 1, 0, 0, 0, 0]",sadness
1223595915954360320,Sat Feb 01 13:16:14 +0000 2020,"RT @newscomauHQ: #WARNING Distressing.
Pet dogs and cats are reportedly being thrown from apartment blocks in China following a rumour the…",466,en,"[0, 1, 0, 0, 0, 0]",sadness
1223534893004546050,Sat Feb 01 09:13:45 +0000 2020,"China, with an expected gross domestic product of $15.5-trillion in 2020, has global markets falling as it struggles to contain the new coronavirus, which causes pneumonia and flu-like symptoms. https://t.co/LNSvbaYNmn",7,en,"[1, 0, 0, 0, 0, 0]",joy
1223567935547019264,Sat Feb 01 11:25:03 +0000 2020,"RT @ImohUmoren: Ighalo, Came from Nigeria, Given no chance by his own fans both at home and in England, AFCON top scorer, Ice Cold Finisher…",2215,en,"[0, 0, 0, 2, 0, 0]",surprise
1223687713666191363,Sat Feb 01 19:21:00 +0000 2020,RT @ChinaDaily: The Hubei government has taken a range of steps to protect and reward #medical workers who are battling the novel #coronavi…,15,en,"[2, 0, 0, 0, 0, 0]",joy
1223453342224941057,Sat Feb 01 03:49:42 +0000 2020,"RT @wittystethoscop: Corona Virus talking to you in Hindi...

Enjoy... 

The actor is a stand up comedian Dr Jagadish Chaturvedi, ENT speci…",158,en,"[2, 0, 0, 0, 0, 0]",joy
1223506481364066304,Sat Feb 01 07:20:51 +0000 2020,"RT @TheZaiduLeaks: Don't understand why Endians are surprised over our Pak govt not accepting Pakistani citizens struck in China.

Dear End…",631,en,"[2, 0, 0, 0, 0, 0]",joy
1223607534508040192,Sat Feb 01 14:02:24 +0000 2020,RT @sneheshphilip: Really sad. A Pakistani student in #Wuhan watching his Indian counterparts being evacuated. The students have been left…,8351,en,"[0, 1, 0, 0, 0, 0]",sadness
1223744300929826816,Sat Feb 01 23:05:52 +0000 2020,"RT @arslan_hidayat: ""I'm not even scared of death, you think I'm scared of you Chinese Communist Party?"" says 'Chen Qiushi' as he vows to c…",546,en,"[0, 0, 0, 0, 2, 0]",fear
1223557494523326464,Sat Feb 01 10:43:33 +0000 2020,"RT @KilaFateh: ROFL 😂 this is what I was waiting for from these bhakts
""Consuming cow urine and cow dung will stop the effect of infectious…",7,en,"[0, 0, 0, 0, 4, 0]",fear
1223626411828662272,Sat Feb 01 15:17:25 +0000 2020,"RT @BaldingsWorld: Can we please stop with the bogus ""every time a white person writes or does something negative with regards to Chinese a…",66,en,"[1, 0, 0, 0, 0, 0]",joy
1223647029546516481,Sat Feb 01 16:39:20 +0000 2020,RT @Jaz_baatein: This is quite sad. Imran Khan willing to let Pakistani citizens catch Coronavirus and die in Wuhan because evacuating them…,60,en,"[0, 1, 0, 0, 0, 0]",sadness
1223677937368674304,Sat Feb 01 18:42:09 +0000 2020,RT @PoliticalKida: India has evacuated and Pakistan abandoned its students in Coronavirus hit Wuhan. Still likes of @ArvindKejriwal call Mo…,3142,en,"[1, 0, 0, 0, 0, 0]",joy
1223415523423031297,Sat Feb 01 01:19:25 +0000 2020,RT @Africarevolt: An American  Movie CONTAGION Screened in 2011 speaks of a Corona-like VIRUS that will begin  from China and spread to the…,83,en,"[1, 0, 0, 0, 0, 0]",joy
1223616638286622721,Sat Feb 01 14:38:34 +0000 2020,RT @PoliticalKida: India has evacuated and Pakistan abandoned its students in Coronavirus hit Wuhan. Still likes of @ArvindKejriwal call Mo…,3142,en,"[1, 0, 0, 0, 0, 0]",joy
1223530439073128448,Sat Feb 01 08:56:03 +0000 2020,"RT @niccijsmith: Hard to imagine how #HongKong citizens could get even angrier with their government than they have been since June, but he…",1246,en,"[0, 0, 1, 0, 0, 0]",anger
1223421406475706372,Sat Feb 01 01:42:48 +0000 2020,RT @ThePollitt: This either foolish oversight or an act of evil genius.,35,en,"[0, 0, 1, 0, 0, 0]",anger
1223505715731582976,Sat Feb 01 07:17:48 +0000 2020,RT @ashoswai: Modi should send this moron to Wuhan with some cow dung and urine!  https://t.co/BDWNBqTi2m,2667,en,"[0, 0, 0, 0, 2, 0]",fear
1223671815748444167,Sat Feb 01 18:17:50 +0000 2020,Bitcoin is once again having a moment. The crypytocurrency has soared 30% this year as fears about the coronavirus outbreak send shock waves throughout glo...Read more: https://t.co/awDNB6Sskn,0,en,"[0, 0, 0, 0, 1, 0]",fear
1223442540763983873,Sat Feb 01 03:06:46 +0000 2020,"@D38018487 My friend is lecturing me about the corona virus! She is scary! I know I must take precautions... 🙄

#BoyWithLuv #BestMusicVideo #iHeartAwards @BTS_twt",0,en,"[2, 0, 0, 0, 1, 0]",joy
